Command,Hex Code,ASCII
"Colour Temperature Gain Green –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 38 46 0A,8F
"Colour Temperature Gain Green +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 38 45 0A,8E
"Colour Temperature Gain Red –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 38 44 0A,8D
"Colour Temperature Gain Red +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 38 43 0A,8C
"Colour Temperature Offset Blue –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 39 37 0A,97
"Colour Temperature Offset Blue +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 39 36 0A,96
"Colour Temperature Offset Green –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 39 35 0A,95
"Colour Temperature Offset Green +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 39 34 0A,94
"Colour Temperature Offset Red –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 39 33 0A,93
"Colour Temperature Offset Red +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 39 32 0A,92
Contrast –,21 89 01 52 43 37 33 37 39 0A,79
Contrast +,21 89 01 52 43 37 33 37 38 0A,78
Contrast Adj. (Adjustment Bar On/Off toggle),21 89 01 52 43 37 33 30 41 0A,0A
CTI (Colour Transient Improvement) - Off (HD350/550/750/950/990/RS10/15/20/25/35),21 89 01 52 43 37 33 35 43 0A,5C
CTI (Colour Transient Improvement) - Low (HD350/550/750/950/990/RS10/15/20/25/35),21 89 01 52 43 37 33 35 44 0A,5D
CTI (Colour Transient Improvement) - Middle (HD350/550/750/950/990/RS10/15/20/25/35),21 89 01 52 43 37 33 35 45 0A,5E
CTI (Colour Transient improvement) - High (HD350/550/750/950/990/RS10/15/20/25/35),21 89 01 52 43 37 33 35 46 0A,5F
Cursor Down ▼,21 89 01 52 43 37 33 30 32 0A,2
Cursor Left ◄,21 89 01 52 43 37 33 33 36 0A,36
Cursor Right ►,21 89 01 52 43 37 33 33 34 0A,34
Cursor Up ▲,21 89 01 52 43 37 33 30 31 0A,1
Dark Level – (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 41 35 0A,A5
Dark Level + (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 41 34 0A,A4
Detail Enhance –,21 89 01 52 43 37 33 31 32 0A,12
Detail Enhance +,21 89 01 52 43 37 33 31 31 0A,11
Picture Tone Blue – (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 41 31 0A,A1
Picture Tone Blue + (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 41 30 0A,A0
Picture Tone Green – (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 39 46 0A,9F
Picture Tone Green + (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 39 45 0A,9E
Picture Tone Red – (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 39 44 0A,9D
Picture Tone Red + (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 39 43 0A,9C
Picture Tone White – (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 39 42 0A,9B
Picture Tone White + (X7/X9/RS50/60 - Film Mode Only) (X70/X90/RS55/65 - All Modes),21 89 01 52 43 37 33 39 41 0A,9A
Gamma - A,21 89 01 52 43 37 33 33 39 0A,39
Gamma - B,21 89 01 52 43 37 33 33 41 0A,3A
